Producto	Modelo	Color	Cantidad	Precio Unitario	Total	Caja	Salidas	Existencia			@
Active 18oz	Clasico	Blanco	8	$235.00	$1,880.00	E5	7	1			
Active 18oz	Clasico	Rojo	11	$235.00	$2,585.00	E5	11	0			
Active 18oz	Clasico	Rosa Pastel	6	$235.00	$1,410.00	E5	6	0			
Active 18oz	Clasico	Navy	27	$235.00	$6,345.00	E5	27	0			
Active 18oz	Clasico	Azul Rey	0	$235.00	$0.00	E5	0	0			
Active 18oz	Clasico	Negro	7	$235.00	$1,645.00	E5	5	2			
Active 18oz	Clasico	Menta (Aqua)	4	$235.00	$940.00	E5	4	0			
Active 22oz	Clasico	Morado	11	$255.00	$2,805.00	E5	9	2			
Active 22oz	Clasico	Navy	6	$255.00	$1,530.00	E5	3	3			
Active 22oz	Clasico	Menta (Aqua)	20	$255.00	$5,100.00	E5	19	1			
Active 22oz	Clasico	Rosa Pastel	8	$255.00	$2,040.00	E5	8	0			
Active 22oz	Clasico	Azul Rey	19	$255.00	$4,845.00	E5	17	2			
Active 22oz	Clasico	Rojo	20	$255.00	$5,100.00	E5	18	2			
Active 22oz	Clasico	Blanco	3	$255.00	$765.00	E5	2	1			
Active 22oz	Clasico	Negro	23	$255.00	$5,865.00	E5	21	2			
Active 32oz	Clasico	Rojo	4	$295.00	$1,180.00	E4	3	1			
Active 32oz	Clasico	Negro	19	$295.00	$5,605.00	E4	16	3			
Active 32oz	Clasico	Navy	13	$295.00	$3,835.00	E4	12	1			
Active 32oz	Clasico	Blanco	7	$295.00	$2,065.00	E4	4	3			
Agavero	Clasico	Navy	24	$160.00	$3,840.00	E2	24	0			
Agavero	Clasico	Rosa	12	$160.00	$1,920.00	E2	4	8			
Agavero	Clasico	Negro	44	$160.00	$7,040.00	E2	39	5			
Agavero	Clasico	Blanco	53	$160.00	$8,480.00	E2	50	3			
Agavero	Premium	Rose Gold	4	$180.00	$720.00	E2	3	1			
Agavero	Premium	Madera	4	$180.00	$720.00	E2	4	0			
Agavero	Premium	Marmol Negro	4	$180.00	$720.00	E2	3	1			
Agavero	Premium	Marmol Blanco	5	$180.00	$900.00	E2	2	3			
Agavero	Premium	Midnight	4	$0.00	$0.00	0	1	3			
Agavero Selección	FIFA	Negro	55	$200.00	$11,000.00	E2	55	0			
Agavero Selección	FIFA	Verde	55	$200.00	$11,000.00	E2	53	2			
Set Conmemorativo Agavero	FIFA	Verde Oficial	11	$800.00	$8,800.00		11	0			
Set Conmemorativo Tumbler 20oz	FIFA	Verde Oficial	15	$1,150.00	$17,250.00		15	0			
MultiCan	Clasico	Blanco	6	$0.00	$0.00		6	0
Beer Can	Clasico	Rojo	2	$210.00	$420.00	E4	0	2			
Beer Can	Clasico	Blanco	2	$210.00	$420.00	E4	1	1			
Beer Can Slim	Clasico	Menta	2	$210.00	$420.00	E4	1	1			
Beer Can Slim	Clasico	Negro	2	$210.00	$420.00	E4	1	1			
Beer Can Slim	Clasico	Blanco	2	$210.00	$420.00	E4	2	0			
Beer Can Slim	Clasico	Navy	2	$210.00	$420.00	E4	1	1			
Beer Can Slim	Premium	Blush	2	$210.00	$420.00	E4	2	0			
Bloom 18 oz	Clasico	Blanco	6	$255.00	$1,530.00	E3	2	4			
Bloom 18 oz	Clasico	Negro	5	$255.00	$1,275.00	E3	6	-1	DEBO 1 INTERLOMAS		
Bloom 18 oz	Clasico	Rosa Pastel	5	$255.00	$1,275.00	E3	3	2			
Bloom 18 oz	Clasico	Menta (Aqua)	3	$255.00	$765.00	E3	2	1			
Bloom 18 oz	Clasico	Navy Blue	5	$255.00	$1,275.00	E3	3	2			
Bloom 18 oz	Premium	Jaguar Negro	6	$265.00	$1,590.00	E3	4	2			
Bloom 18 oz	Premium	Bacalar	3	$265.00	$795.00	E3	1	2			
Bloom 18 oz	Premium	Gold Leopard	7	$265.00	$1,855.00	E3	2	5			
Bloom 18 oz	Premium	Mermaid Glitter	5	$265.00	$1,325.00	E3	2	3	1 FARMACIAS		
Bloom 18 oz	Premium	Blush Glitter	7	$265.00	$1,855.00	E3	4	3	1 FARMACIAS		
Bloom 18 oz	Premium	Marmol Blanco	7	$265.00	$1,855.00	E3	3	4			
Bloom 18 oz	Premium	Gold/Blue	3	$265.00	$795.00	E3	0	3			
Bloom 18 oz	Premium	Midnight	2	$265.00	$530.00	E3	1	1			
Bloom 30 oz	Clasico	Blanco	3	$280.00	$840.00	E6	1	2	DEBE 1 INTERLOMAS		
Bloom 30 oz	Clasico	Negro	3	$280.00	$840.00	E6	2	1			
Bloom 30 oz	Clasico	Menta (Aqua)	3	$280.00	$840.00	E6	1	2			
Bloom 30 oz	Clasico	Rosa Pastel	3	$280.00	$840.00	E6	0	3			
Bloom 30 oz	Clasico	Navy	3	$280.00	$840.00	E6	2	1			
Bloom 30 oz	Premium	Jaguar Negro	6	$295.00	$1,770.00	E6	6	0	DEBO 1 INTERLOMAS	del bazar sierra para Miriam Rivero	
Bloom 30 oz	Premium	Marmol Blanco	3	$295.00	$885.00	E6	0	3			
Bloom 30 oz	Premium	Gold Leopard	4	$295.00	$1,180.00	E6	1	3			
Bloom 30 oz	Premium	Blush Glitter	3	$295.00	$885.00	E6	1	2			
Bloom 30 oz	Premium	Midnight	2	$295.00	$590.00		1	1			
Infusions	Clasico	Sky	11	$250.00	$2,750.00	E4	8	3			
Infusions	Clasico	Rosa Pastel	9	$250.00	$2,250.00	E4	7	2			
Infusions	Clasico	Rojo	9	$250.00	$2,250.00	E4	7	2			
Infusions	Clasico	Negro	9	$250.00	$2,250.00	E4	8	1			
Infusions	Clasico	Fusia	9	$250.00	$2,250.00	E4	6	3			
Infusions	Clasico	Blanco	10	$250.00	$2,500.00	E4	7	3			
Infusions	Clasico	Menta	3	$250.00	$750.00	E4	2	1			
Infusions	Clasico	Coral	10	$250.00	$2,500.00	E4	7	3			
Infusions	Premium	Marmol Blanco	12	$260.00	$3,120.00	E4	12	0			
Infusions	Premium	Madera	12	$260.00	$3,120.00	E4	11	1			
Irish	Clasico	Menta	1	$265.00	$265.00	E1	1	0			
Irish	Clasico	Rosa Pastel	1	$265.00	$265.00	E2	1	0			
Irish	Clasico	Navy	1	$265.00	$265.00	E1	1	0			
Journey	Clasico	Blanco	3	$350.00	$1,050.00	E4	3	0			
Journey	Clasico	Navy	1	$350.00	$350.00	E4	1	0			
Kid	Clasico	Rojo	2	$230.00	$460.00	E1	2	0			
Kid	Clasico	Amarillo	2	$230.00	$460.00	E1	1	1			
Kid	Clasico	Navy	5	$230.00	$1,150.00	E1	5	0			
Kid	Clasico	Rosa Pastel	2	$230.00	$460.00	E1	2	0			
Kid	Clasico	Fusia	2	$230.00	$460.00	E1	1	1			
King	Clasico	Blanco	5	$515.00	$2,575.00		5	0			
King	Clasico	Navy	3	$515.00	$1,545.00		3	0			
King	Clasico	Azul Rey	0	$515.00	$0.00		2	-2	DEBO 2 INTERLOMAS		
Mountain	Clasico	Arena	3	$615.00	$1,845.00		4	-1	DEBO 1 INTERLOMAS		
Mountain	Clasico	Navy	6	$615.00	$3,690.00		6	0			
Mountain	Clasico	Negro	2	$615.00	$1,230.00		2	0			
Mugzilla	Clasico	Blanco	2	$270.00	$540.00	E2	0	2			
Mugzilla	Clasico	Negro	4	$270.00	$1,080.00	E2	2	2			
Mugzilla	Clasico	Fusia	2	$270.00	$540.00	E2	1	1			
Mugzilla	Clasico	Arena	2	$270.00	$540.00	E2	1	1			
Mugzilla	Clasico	Navy	4	$270.00	$1,080.00	E0	2	2			
Mugzilla	Clasico	Rojo	3	$270.00	$810.00	E1	2	1			
Mugzilla	Clasico	Verde Militar	6	$270.00	$1,620.00	E2	3	3			
Mugzilla	Clasico	Sky	1	$270.00	$270.00	E3	2	-1	DEBO 1 INTERLOMAS	del bazar sierra para Ili	
